City,Source URL
Richmond,https://www.ci.richmond.ca.us/1404/Major-Projects
Bakersfield,https://www.bakersfieldcity.us/518/Projects-Programs
Wasco,https://www.cityofwasco.org/311/Current-Projects
Eureka,https://www.eurekaca.gov/744/Upcoming-Projects
Arcata,https://www.cityofarcata.org/413/Current-City-Construction-Projects
McKinleyville,https://www.mckinleyvillecsd.com/news-and-project-updates
San Rafael,https://www.cityofsanrafael.org/major-planning-projects-2/
Novato,https://www.novato.org/government/community-development/planning-division/planning-projects?locale=en
Mill Valley,https://www.cityofmillvalley.org/258/Projects
Riverside,https://riversideca.gov/utilities/projects
Moreno Valley,https://www.moval.org/cdd/documents/about-projects.html
Corona,https://www.coronaca.gov/government/departments-divisions/department-of-water-and-power/construction
Sacramento,http://www.cityofsacramento.org/public-works/engineering-services/projects
Citrus Heights,https://www.citrusheights.net/292/Current-Projects
Elk Grove,https://www.elkgrovecity.org/southeast-policy-area/development-projects
San Bernardino,https://www.sbcity.org/city_hall/community_economic_development/development_projects
Fontana,https://www.fontanaca.gov/765/Current-Projects
Ontario,https://www.ontarioca.gov/Planning/CurrentPlanning
Chula Vista,https://www.chulavistaca.gov/departments/development-services/city-projects
Oceanside,https://www.ci.oceanside.ca.us/government/development-services/engineering/capital-improvement-program/current-projects
San Luis Obispo,https://www.slocity.org/government/department-directory/parks-and-recreation/current-projects
Paso Robles,https://www.prcity.com/363/City-Projects
Atascadero,https://www.atascadero.org/index.php?option=com_content&view=article&id=652&Itemid=1723
San Mateo,https://www.cityofsanmateo.org/1176/Whats-Happening-in-Development
Daly City,https://www.dalycity.org/362/Current-Project-List
Lompoc,https://www.cityoflompoc.com/government/departments/economic-community-development/planning-division/major-project-updates
Santa Maria,https://www.santamariagroup.com/projects
Santa Clara,https://www.santaclaraca.gov/business-development/development-projects/projects-listing
Vacaville,https://www.ci.vacaville.ca.us/government/community-development/major-development-projects?locale=en
Vallejo,https://www.cityofvallejo.net/our_city/departments_divisions/planning_development_services/economic_development_department/development_projects
Fairfield,https://www.fairfield.ca.gov/government/city-departments/community-development/planning-division/development-activity?locale=en
Fairfield (Public Works),https://www.fairfield.ca.gov/government/city-departments/public-works/capital-improvement-projects
Rohnert Park,https://www.rpcity.org/city_hall/departments/development_services/engineering/projects_in_progress
Santa Rosa,https://www.srcity.org/3212/Current-Projects
Petaluma,https://cityofpetaluma.org/planning-projects/
Thousand Oaks,https://www.toaks.org/departments/public-works/construction
Simi Valley,https://www.simivalley.org/departments/public-works/public-works-engineering/capital-projects/current-capital-projects
Shoreline,https://www.shorelinewa.gov/government/projects-initiatives
